profesi,frekuensi latihan,durasi latihan,tingkat kesibukan,program latihan
sekolah,5,60,sedang,"push, pull, leg"
karyawan,5,60,sedang,"push, pull, leg"
karyawan,3,90,sedang,full body workout
mahasiswa,4,75,sedang,upper & lower
mahasiswa,2,120,tinggi,full body workout
karyawan,5,60,sedang,"push, pull, leg"
karyawan,3,90,tinggi,upper & lower
karyawan,6,45,rendah,"push, pull, leg"
mahasiswa,3,90,tinggi,upper & lower
karyawan,6,45,rendah,"push, pull, leg"
karyawan,2,120,tinggi,full body workout
karyawan,2,120,tinggi,full body workout
karyawan,3,90,tinggi,upper & lower
sekolah,3,90,sedang,full body workout
mahasiswa,4,75,sedang,upper & lower
ibu rumah tangga,3,90,sedang,full body workout
mahasiswa,4,75,sedang,upper & lower
karyawan,2,120,tinggi,full body workout
mahasiswa,6,45,rendah,"push, pull, leg"
ibu rumah tangga,4,75,sedang,upper & lower
karyawan,3,90,sedang,full body workout
sekolah,5,60,sedang,"push, pull, leg"
sekolah,3,90,sedang,full body workout
sekolah,6,45,rendah,"push, pull, leg"
mahasiswa,4,75,sedang,upper & lower
karyawan,2,120,tinggi,full body workout
ibu rumah tangga,3,90,tinggi,upper & lower
sekolah,6,45,rendah,"push, pull, leg"
karyawan,4,75,sedang,upper & lower
ibu rumah tangga,2,120,tinggi,full body workout
sekolah,5,60,sedang,"push, pull, leg"
PNS,3,90,tinggi,upper & lower
sekolah,5,60,sedang,"push, pull, leg"
karyawan,2,120,tinggi,full body workout
mahasiswa,4,75,sedang,upper & lower
PNS,3,90,sedang,full body workout
karyawan,3,90,tinggi,upper & lower
mahasiswa,5,60,sedang,"push, pull, leg"
sekolah,3,90,tinggi,upper & lower
PNS,2,120,tinggi,full body workout
sekolah,3,90,sedang,full body workout
mahasiswa,3,90,tinggi,upper & lower
mahasiswa,4,75,sedang,upper & lower
mahasiswa,6,45,rendah,"push, pull, leg"
sekolah,5,60,sedang,"push, pull, leg"
sekolah,3,90,sedang,full body workout
mahasiswa,3,90,sedang,full body workout
PNS,2,120,tinggi,full body workout
mahasiswa,4,75,sedang,upper & lower
karyawan,3,90,tinggi,upper & lower
sekolah,3,90,tinggi,upper & lower
mahasiswa,6,45,rendah,"push, pull, leg"
sekolah,4,75,sedang,upper & lower
PNS,4,75,sedang,upper & lower
karyawan,2,120,tinggi,full body workout
sekolah,5,60,sedang,"push, pull, leg"
sekolah,5,60,sedang,"push, pull, leg"
sekolah,3,90,sedang,full body workout
PNS,4,75,sedang,upper & lower
sekolah,5,60,sedang,"push, pull, leg"
karyawan,3,90,sedang,full body workout
sekolah,4,75,sedang,upper & lower
sekolah,4,75,sedang,upper & lower
karyawan,2,120,tinggi,full body workout
PNS,4,75,sedang,upper & lower
sekolah,5,60,sedang,"push, pull, leg"
karyawan,4,75,sedang,upper & lower
sekolah,5,60,rendah,"push, pull, leg"
karyawan,2,120,tinggi,full body workout
sekolah,6,45,rendah,"push, pull, leg"
PNS,4,75,sedang,upper & lower
ibu rumah tangga,2,120,tinggi,full body workout
PNS,3,90,sedang,full body workout
sekolah,5,45,rendah,"push, pull, leg"
PNS,2,120,tinggi,full body workout
sekolah,5,45,rendah,"push, pull, leg"
mahasiswa,2,120,tinggi,full body workout
mahasiswa,5,60,sedang,"push, pull, leg"
ibu rumah tangga,3,90,tinggi,upper & lower
ibu rumah tangga,2,120,tinggi,full body workout
karyawan,4,75,sedang,upper & lower
karyawan,3,90,sedang,full body workout
sekolah,6,45,rendah,"push, pull, leg"
karyawan,3,90,tinggi,upper & lower
karyawan,2,120,tinggi,full body workout
PNS,3,90,tinggi,upper & lower
karyawan,3,90,sedang,full body workout
karyawan,3,90,sedang,full body workout
sekolah,5,60,sedang,"push, pull, leg"
PNS,3,90,sedang,full body workout
karyawan,2,120,tinggi,full body workout
sekolah,6,45,rendah,"push, pull, leg"
PNS,2,120,tinggi,full body workout
mahasiswa,5,60,sedang,"push, pull, leg"
karyawan,4,75,sedang,upper & lower
karyawan,3,90,tinggi,upper & lower
karyawan,2,120,tinggi,full body workout
mahasiswa,3,90,tinggi,upper & lower
sekolah,5,60,sedang,"push, pull, leg"
karyawan,3,90,tinggi,upper & lower
sekolah,3,90,sedang,full body workout
sekolah,5,60,sedang,"push, pull, leg"
PNS,3,90,tinggi,upper & lower
mahasiswa,2,120,tinggi,full body workout
karyawan,2,120,tinggi,full body workout
sekolah,6,60,rendah,"push, pull, leg"
sekolah,6,45,rendah,"push, pull, leg"
sekolah,5,60,sedang,"push, pull, leg"
karyawan,3,90,sedang,full body workout
karyawan,2,120,tinggi,full body workout
PNS,3,90,tinggi,upper & lower
sekolah,6,45,rendah,"push, pull, leg"
PNS,5,60,sedang,"push, pull, leg"
karyawan,3,90,tinggi,upper & lower
sekolah,5,60,sedang,"push, pull, leg"
sekolah,5,60,sedang,"push, pull, leg"
mahasiswa,2,120,tinggi,full body workout
mahasiswa,5,60,sedang,"push, pull, leg"
PNS,3,90,sedang,full body workout
PNS,2,120,tinggi,full body workout
karyawan,2,120,tinggi,full body workout
ibu rumah tangga,4,75,sedang,upper & lower
sekolah,3,90,tinggi,upper & lower
karyawan,2,120,tinggi,full body workout
sekolah,6,45,rendah,"push, pull, leg"
sekolah,5,60,sedang,"push, pull, leg"
mahasiswa,3,90,tinggi,upper & lower
sekolah,3,90,sedang,full body workout
karyawan,2,120,tinggi,full body workout
sekolah,5,60,sedang,"push, pull, leg"
PNS,3,90,tinggi,upper & lower
PNS,3,90,sedang,full body workout
karyawan,4,75,sedang,upper & lower
mahasiswa,4,75,sedang,upper & lower
